GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nodo-api,com.nodoapi.nodoapi.config,JwtAuthenticationFilter,90,0,16,0,20,0,10,0,2,0
nodo-api,com.nodoapi.nodoapi.config,JwtService,97,0,4,0,25,0,12,0,10,0
nodo-api,com.nodoapi.nodoapi.config,ApplicationConfig,43,0,0,0,9,0,7,0,7,0
nodo-api,com.nodoapi.nodoapi.config,SecurityConfiguration,45,0,0,0,16,0,2,0,2,0
nodo-api,com.nodoapi.nodoapi.auth,AuthenticationService,123,0,2,0,25,0,4,0,3,0
nodo-api,com.nodoapi.nodoapi.auth,RegisterRequest,257,0,46,0,9,0,40,0,17,0
nodo-api,com.nodoapi.nodoapi.auth,AutheticationResponse.AutheticationResponseBuilder,81,0,0,0,1,0,11,0,11,0
nodo-api,com.nodoapi.nodoapi.auth,RegisterRequest.RegisterRequestBuilder,54,0,0,0,1,0,8,0,8,0
nodo-api,com.nodoapi.nodoapi.auth,RegisterResponse,171,0,30,0,7,0,28,0,13,0
nodo-api,com.nodoapi.nodoapi.auth,AuthenticationRequest.AuthenticationRequestBuilder,27,0,0,0,1,0,5,0,5,0
nodo-api,com.nodoapi.nodoapi.auth,AuthenticationRequest,128,0,22,0,6,0,22,0,11,0
nodo-api,com.nodoapi.nodoapi.auth,RegisterResponse.RegisterResponseBuilder,36,0,0,0,1,0,6,0,6,0
nodo-api,com.nodoapi.nodoapi.auth,AutheticationResponse,386,0,70,0,12,0,58,0,23,0
nodo-api,com.nodoapi.nodoapi.auth,AuthenticationController,35,0,2,0,8,0,4,0,3,0
nodo-api,com.nodoapi.nodoapi.controller,PaymentReferenceController,15,0,0,0,4,0,2,0,2,0
nodo-api,com.nodoapi.nodoapi.controller,CourseController,66,0,2,0,12,0,8,0,7,0
nodo-api,com.nodoapi.nodoapi.controller,SchoolController,23,0,0,0,5,0,3,0,3,0
nodo-api,com.nodoapi.nodoapi.controller,RolController,23,0,0,0,5,0,3,0,3,0
nodo-api,com.nodoapi.nodoapi.controller,CommentController,66,0,2,0,11,0,8,0,7,0
nodo-api,com.nodoapi.nodoapi.controller,SubDetailController,34,0,0,0,7,0,4,0,4,0
nodo-api,com.nodoapi.nodoapi.controller,ClassObjectController,70,0,2,0,12,0,9,0,8,0
nodo-api,com.nodoapi.nodoapi.controller,UserController,57,0,2,0,10,0,7,0,6,0
nodo-api,com.nodoapi.nodoapi,NodoApiApplication,5,3,0,0,2,1,1,1,1,1
nodo-api,com.nodoapi.nodoapi.service,PaymentReferenceService,17,0,0,0,5,0,3,0,3,0
nodo-api,com.nodoapi.nodoapi.service,SubDetailService,0,48,0,0,0,11,0,6,0,6
nodo-api,com.nodoapi.nodoapi.service,RolService,17,0,0,0,5,0,3,0,3,0
nodo-api,com.nodoapi.nodoapi.service,UserService,0,42,0,0,0,10,0,6,0,6
nodo-api,com.nodoapi.nodoapi.service,CommentService,50,0,2,0,11,0,8,0,7,0
nodo-api,com.nodoapi.nodoapi.service,SchoolService,42,0,0,0,10,0,6,0,6,0
nodo-api,com.nodoapi.nodoapi.service,ClassObjectService,48,0,0,0,11,0,7,0,7,0
nodo-api,com.nodoapi.nodoapi.service,CourseService,48,0,0,0,11,0,7,0,7,0
nodo-api,com.nodoapi.nodoapi.persistence.entity,Rol,169,3,30,0,6,1,27,1,12,1
nodo-api,com.nodoapi.nodoapi.persistence.entity,Course.CourseBuilder,50,33,0,0,0,1,7,4,7,4
nodo-api,com.nodoapi.nodoapi.persistence.entity,SubDetail,308,39,61,1,6,5,47,5,16,5
nodo-api,com.nodoapi.nodoapi.persistence.entity,PaymentReference.PaymentReferenceBuilder,28,0,0,0,1,0,5,0,5,0
nodo-api,com.nodoapi.nodoapi.persistence.entity,School,153,19,30,0,4,3,25,3,10,3
nodo-api,com.nodoapi.nodoapi.persistence.entity,Course,354,34,70,0,9,3,55,3,20,3
nodo-api,com.nodoapi.nodoapi.persistence.entity,PaymentReference,126,3,22,0,5,1,21,1,10,1
nodo-api,com.nodoapi.nodoapi.persistence.entity,User,406,45,77,1,14,5,65,5,26,5
nodo-api,com.nodoapi.nodoapi.persistence.entity,ClassObject,295,3,54,0,8,1,44,1,17,1
nodo-api,com.nodoapi.nodoapi.persistence.entity,Comment,300,3,54,0,9,1,45,1,18,1
nodo-api,com.nodoapi.nodoapi.persistence.entity,Rol.RolBuilder,37,0,0,0,1,0,6,0,6,0
nodo-api,com.nodoapi.nodoapi.persistence.entity,School.SchoolBuilder,14,23,0,0,0,1,2,4,2,4
nodo-api,com.nodoapi.nodoapi.persistence.entity,User.UserBuilder,48,45,0,0,0,1,6,6,6,6
nodo-api,com.nodoapi.nodoapi.persistence.entity,SubDetail.SubDetailBuilder,35,41,0,0,0,1,4,6,4,6
nodo-api,com.nodoapi.nodoapi.persistence.entity,Sub.SubBuilder,16,30,0,0,0,1,2,5,2,5
nodo-api,com.nodoapi.nodoapi.persistence.entity,Comment.CommentBuilder,66,0,0,0,1,0,9,0,9,0
nodo-api,com.nodoapi.nodoapi.persistence.entity,Sub,193,22,38,0,5,3,31,3,12,3
